NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,IDADE,SEXO,TP_ESTADO_CIVIL,RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,CO_ESCOLA,NO_MUNICIPIO_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"1,90E+11",São Paulo,17,F,1,parda,1,2,privada,15567761.0,Belém,1,1,1,1,576.2,641.1,634.3,731.8,Inglês,1.0,160.0,120.0,200.0,200.0,200.0,880.0,Não
"1,90E+11",São Paulo,26,M,1,branca,1,1,não_respondeu,,,1,1,1,1,612.8,630.2,647.7,681.2,Espanhol,1.0,180.0,200.0,200.0,200.0,120.0,900.0,Sim
"1,90E+11",São Paulo,19,M,1,parda,1,1,não_respondeu,,,1,1,1,1,396.6,464.8,477.2,457.8,Espanhol,1.0,100.0,120.0,120.0,120.0,100.0,560.0,Sim
"1,90E+11",São Paulo,18,F,1,parda,1,1,não_respondeu,,,1,1,1,1,582.7,617.8,591.5,612.9,Inglês,1.0,160.0,200.0,160.0,180.0,180.0,880.0,Sim
"1,90E+11",São Paulo,18,F,1,branca,1,2,privada,35132287.0,São Paulo,1,1,1,1,585.9,625.6,597.4,49.1,Inglês,1.0,160.0,140.0,140.0,160.0,160.0,760.0,Sim
"1,90E+11",São Paulo,18,F,1,branca,1,1,não_respondeu,,,1,1,1,1,57.0,543.8,588.9,58.5,Inglês,1.0,160.0,200.0,160.0,160.0,200.0,880.0,Sim
"1,90E+11",São Paulo,21,F,1,preta,1,1,não_respondeu,,,1,1,1,1,350.6,447.3,456.1,360.2,Espanhol,1.0,100.0,120.0,120.0,100.0,120.0,560.0,Sim
"1,90E+11",São Paulo,17,M,1,parda,1,2,pública,29153964.0,Rio Real,1,1,1,1,484.4,527.9,542.9,535.7,Inglês,1.0,120.0,120.0,120.0,120.0,160.0,640.0,Sim
"1,90E+11",São Paulo,33,M,2,parda,1,1,não_respondeu,,,1,1,1,1,54.5,614.6,556.2,635.5,Espanhol,1.0,120.0,120.0,120.0,120.0,0.0,480.0,Sim
"1,90E+11",São Paulo,24,F,1,preta,1,1,não_respondeu,,,1,1,1,1,571.5,644.4,640.3,656.5,Espanhol,1.0,180.0,200.0,200.0,160.0,80.0,820.0,Sim
"1,90E+11",São Paulo,32,F,2,branca,1,1,não_respondeu,,,1,1,1,1,584.3,630.6,609.1,68.2,Inglês,1.0,120.0,120.0,120.0,120.0,120.0,600.0,Sim
"1,90E+11",São Paulo,18,F,1,branca,1,2,privada,35103433.0,São Paulo,1,1,1,1,520.6,637.6,596.4,640.4,Inglês,1.0,140.0,200.0,140.0,180.0,200.0,860.0,Sim
